Timestamp,Device ID,Device Type,Power Consumption (W),Room Location,Temperature (°C),Humidity (%),Usage Duration (minutes),Energy Cost ($),On/Off Status
2024-08-15 07:59:00,D-7949,Air Conditioner,1662.13,Bedroom,20.88,51.87,52,172.86,On
2024-07-30 10:22:00,D-4177,Microwave,1634.84,Garage,26.95,52.97,145,474.1,On
2024-08-08 07:47:00,D-5164,Laptop Charger,88.8,Garage,20.21,40.46,43,7.64,On
2024-12-12 10:30:00,D-7031,TV,114.09,Bathroom,20.19,74.84,155,35.37,On
2024-10-16 16:50:00,D-6124,Refrigerator,169.02,Bedroom,17.66,34.44,1,0.34,On
2024-04-12 18:19:00,D-3593,Ceiling Fan,47.16,Bedroom,25.36,31.97,47,4.43,On
2024-05-09 15:57:00,D-2276,Smart Bulb,14.86,Office,18.54,68.0,78,2.32,On
2024-09-12 00:57:00,D-6126,Laptop Charger,71.23,Office,26.24,31.52,18,2.56,On
2024-04-25 22:06:00,D-6750,Smart Plug,4.39,Bedroom,23.46,72.04,86,0.76,On
2024-07-04 06:16:00,D-4596,Smart Bulb,10.94,Bathroom,20.33,62.44,146,3.19,On
2024-01-19 02:29:00,D-8943,Air Conditioner,1629.8,Bathroom,16.91,44.19,6,19.56,Off
2024-03-19 04:21:00,D-2460,Refrigerator,120.36,Office,20.48,54.39,94,22.63,On
2024-04-10 16:30:00,D-9434,Laptop Charger,31.09,Garage,29.74,35.6,66,4.1,On
2024-03-26 08:03:00,D-1117,TV,75.79,Office,25.03,76.47,79,11.97,On
2024-06-18 23:21:00,D-7316,Heater,2538.99,Office,29.52,65.55,20,101.56,On
2024-09-27 14:38:00,D-7233,Smart Bulb,12.68,Office,23.72,37.72,100,2.54,On
2024-07-15 00:32:00,D-1009,TV,104.86,Bedroom,29.85,46.12,130,27.26,On
2024-11-12 20:52:00,D-3832,Smart Plug,3.08,Office,21.18,47.44,49,0.3,Off
2024-07-30 20:33:00,D-9567,Refrigerator,298.19,Bedroom,17.72,33.32,40,23.86,Off
2024-04-05 03:43:00,D-7413,Laptop Charger,77.97,Kitchen,17.46,70.73,123,19.18,On
2024-04-12 19:36:00,D-3136,Ceiling Fan,88.72,Office,28.5,61.21,97,17.21,Off
2024-04-13 22:06:00,D-3712,Smart Bulb,8.55,Bedroom,23.15,75.32,179,3.06,On
2024-06-04 10:10:00,D-2202,Microwave,1001.89,Bathroom,26.91,61.0,155,310.59,Off
2024-07-08 12:53:00,D-2120,Smart Plug,6.03,Kitchen,26.16,31.68,86,1.04,Off
2024-09-10 12:20:00,D-7028,Ceiling Fan,45.8,Bathroom,21.86,60.2,15,1.37,Off
2024-02-14 23:32:00,D-3891,Washing Machine,635.94,Kitchen,24.62,64.7,36,45.79,Off
2024-09-26 16:29:00,D-7166,Ceiling Fan,72.15,Office,24.22,75.59,104,15.01,On
2024-05-10 13:34:00,D-1827,Laptop Charger,65.58,Bathroom,23.48,64.83,120,15.74,On
2024-01-01 02:06:00,D-9795,Ceiling Fan,65.58,Living Room,21.36,66.82,40,5.25,Off
2024-05-04 06:34:00,D-2792,Microwave,735.89,Garage,17.48,39.32,57,83.89,On
2024-04-27 00:22:00,D-6031,Heater,2215.79,Living Room,26.16,40.28,57,252.6,On
2024-01-10 04:24:00,D-9766,Heater,1829.01,Bedroom,28.8,47.32,162,592.6,Off
2024-05-19 23:39:00,D-2205,Heater,1352.77,Bathroom,21.28,75.74,177,478.88,Off
2024-04-12 07:13:00,D-1966,Refrigerator,295.11,Living Room,17.23,50.73,63,37.18,Off
2024-04-15 11:18:00,D-2759,Smart Bulb,5.67,Kitchen,18.15,74.9,32,0.36,On
2024-04-30 12:12:00,D-8186,Laptop Charger,33.94,Office,25.71,56.38,113,7.67,On
2024-07-27 19:49:00,D-5926,Heater,1205.96,Garage,16.13,67.66,10,24.12,On
2024-05-07 13:15:00,D-1054,Smart Bulb,6.56,Bedroom,28.0,50.4,57,0.75,On
2024-12-17 06:15:00,D-9519,Microwave,724.93,Garage,17.68,62.64,8,11.6,On
2024-01-25 05:51:00,D-3538,Laptop Charger,87.76,Bathroom,25.02,40.25,55,9.65,Off
2024-07-05 07:34:00,D-9966,Ceiling Fan,92.69,Garage,15.4,39.07,36,6.67,On
2024-09-21 14:09:00,D-7852,Air Conditioner,1262.73,Bedroom,27.38,48.15,119,300.53,On
2024-05-14 21:49:00,D-8083,Smart Plug,3.6,Bedroom,26.45,37.01,158,1.14,On
2024-03-03 13:33:00,D-5223,Microwave,818.53,Bedroom,15.34,43.43,40,65.48,On
2024-08-12 05:58:00,D-6877,Smart Plug,5.73,Office,29.77,56.28,109,1.25,On
2024-08-21 19:16:00,D-6475,TV,99.81,Bedroom,23.31,62.57,122,24.35,Off
2024-01-29 08:09:00,D-3074,TV,140.0,Office,25.98,42.54,53,14.84,On
2024-11-10 01:48:00,D-3969,Smart Bulb,9.04,Office,22.78,32.35,54,0.98,Off
2024-04-14 09:22:00,D-6490,Refrigerator,149.07,Garage,27.56,51.86,164,48.89,Off
2024-01-08 16:06:00,D-2333,Laptop Charger,58.56,Office,17.03,54.19,36,4.22,On
2024-11-15 19:14:00,D-8101,Washing Machine,727.62,Kitchen,20.01,68.55,73,106.23,On
2024-09-30 02:36:00,D-7185,Laptop Charger,57.58,Kitchen,27.29,69.97,172,19.81,Off
2024-07-17 01:15:00,D-5090,Heater,2924.2,Living Room,29.25,52.3,47,274.87,On
2024-09-30 07:14:00,D-3708,Laptop Charger,75.54,Garage,25.38,72.46,25,3.78,Off
2024-02-23 18:54:00,D-9680,Ceiling Fan,108.3,Bedroom,23.82,79.97,26,5.63,On
2024-11-26 05:26:00,D-8686,Refrigerator,159.47,Bedroom,21.33,69.77,116,37.0,Off
2024-01-26 21:05:00,D-1614,Ceiling Fan,40.28,Kitchen,23.41,54.05,131,10.55,On
2024-04-03 02:15:00,D-5278,Ceiling Fan,67.84,Living Room,23.08,63.08,141,19.13,On
2024-06-25 16:44:00,D-9502,Ceiling Fan,72.15,Bedroom,15.32,73.74,141,20.35,On
2024-10-20 15:25:00,D-9436,Smart Bulb,9.8,Bathroom,29.76,68.41,153,3.0,On
2024-06-22 17:55:00,D-4760,Refrigerator,122.09,Office,19.46,72.64,146,35.65,On
2024-10-28 06:16:00,D-9173,Smart Bulb,5.45,Living Room,20.87,36.22,37,0.4,Off
2024-06-14 15:06:00,D-1806,TV,137.91,Office,24.01,75.19,153,42.2,Off
2024-05-14 05:23:00,D-8827,Laptop Charger,80.27,Office,24.12,55.63,74,11.88,On
2024-06-20 05:44:00,D-1936,Ceiling Fan,51.48,Kitchen,27.39,70.04,54,5.56,Off
2024-02-23 09:38:00,D-2913,Washing Machine,512.52,Kitchen,20.94,67.91,62,63.55,Off
2024-01-06 11:46:00,D-5876,TV,72.38,Living Room,23.89,59.0,98,14.19,On
2024-06-17 11:35:00,D-2218,Heater,2911.3,Bathroom,15.53,46.45,25,145.56,On
2024-08-04 20:10:00,D-8291,Air Conditioner,1309.03,Kitchen,25.85,54.79,37,96.87,On
2024-03-01 09:48:00,D-6233,Smart Bulb,9.95,Office,23.89,71.23,56,1.11,On
2024-08-19 20:23:00,D-5311,Smart Bulb,12.97,Bathroom,27.76,73.36,169,4.38,On
2024-12-27 11:47:00,D-5795,TV,65.86,Kitchen,29.42,53.27,31,4.08,Off
2024-11-22 16:52:00,D-4998,Microwave,601.34,Bedroom,27.48,55.37,39,46.9,On
2024-12-05 13:32:00,D-3064,Smart Bulb,6.16,Bedroom,24.51,57.0,163,2.01,On
2024-05-04 00:29:00,D-6352,Microwave,1755.59,Bathroom,24.49,76.6,22,77.25,Off
2024-10-31 16:35:00,D-8491,Air Conditioner,1201.45,Living Room,26.56,65.43,118,283.54,On
2024-07-15 14:17:00,D-7353,Laptop Charger,82.29,Garage,21.69,62.38,125,20.57,On
2024-01-22 22:38:00,D-4356,Heater,2888.61,Kitchen,21.77,38.18,119,687.49,Off
2024-04-13 03:54:00,D-2823,Washing Machine,291.19,Office,18.45,36.57,81,47.17,Off
2024-06-05 00:55:00,D-7446,Refrigerator,183.95,Kitchen,29.47,68.0,131,48.19,On
2024-06-16 17:31:00,D-4598,TV,124.58,Kitchen,15.47,62.58,12,2.99,On
2024-10-16 01:15:00,D-6179,Laptop Charger,41.13,Living Room,16.37,37.68,27,2.22,Off
2024-04-22 08:19:00,D-1959,Microwave,953.0,Bathroom,29.51,39.27,15,28.59,On
2024-12-25 23:09:00,D-2875,Microwave,1116.37,Office,18.38,38.04,117,261.23,On
2024-06-25 15:06:00,D-5167,Smart Bulb,9.65,Office,20.89,54.0,95,1.83,Off
2024-01-05 06:34:00,D-3043,Smart Plug,6.4,Kitchen,22.21,35.25,145,1.86,On
2024-11-05 08:45:00,D-3720,TV,105.96,Bedroom,19.9,55.89,33,6.99,Off
2024-06-01 14:04:00,D-8833,Washing Machine,448.46,Bedroom,29.66,40.04,122,109.42,Off
2024-01-07 07:18:00,D-2895,Smart Bulb,11.36,Kitchen,28.44,59.74,73,1.66,On
2024-04-19 02:07:00,D-9907,Smart Plug,6.85,Bedroom,24.38,69.17,111,1.52,Off
2024-04-19 12:22:00,D-1207,Washing Machine,523.8,Bedroom,26.76,54.05,127,133.05,On
2024-09-16 12:26:00,D-8179,Air Conditioner,1120.65,Garage,22.19,60.79,147,329.47,Off
2024-01-20 17:00:00,D-3356,Microwave,1390.45,Kitchen,17.43,31.04,150,417.13,On
2024-12-02 09:30:00,D-9946,Heater,2360.46,Garage,21.28,40.18,135,637.32,On
2024-11-19 10:37:00,D-1158,Refrigerator,183.18,Bathroom,24.43,66.77,126,46.16,Off
2024-07-28 04:07:00,D-2712,Air Conditioner,1520.99,Living Room,21.58,66.26,66,200.77,On
2024-09-25 15:01:00,D-2394,Microwave,940.63,Garage,18.16,61.15,40,75.25,Off
2024-12-27 19:05:00,D-7895,Laptop Charger,66.11,Bedroom,18.56,78.57,119,15.73,On
2024-05-02 05:57:00,D-3365,Smart Plug,2.99,Garage,21.68,55.74,84,0.5,On
2024-03-11 12:00:00,D-9219,Smart Plug,3.79,Garage,15.14,59.42,164,1.24,Off
2024-06-12 18:06:00,D-1629,Ceiling Fan,50.23,Bedroom,21.73,63.47,105,10.55,On
2024-10-16 09:15:00,D-1575,Smart Bulb,8.59,Bathroom,15.55,66.82,165,2.83,Off
2024-07-07 21:11:00,D-3203,Laptop Charger,81.85,Office,18.09,35.6,114,18.66,Off
2024-09-02 08:19:00,D-7262,Ceiling Fan,54.35,Garage,29.01,45.81,179,19.46,On
2024-06-21 13:40:00,D-2239,Air Conditioner,1778.95,Office,29.28,61.96,39,138.76,On
2024-01-05 13:30:00,D-8595,Air Conditioner,1548.37,Office,19.62,65.23,124,384.0,On
2024-12-13 23:16:00,D-7812,Smart Bulb,9.44,Garage,29.45,42.77,55,1.04,Off
2024-03-28 01:14:00,D-7257,Ceiling Fan,55.81,Bedroom,28.03,58.53,76,8.48,On
2024-10-25 21:44:00,D-4072,Washing Machine,357.84,Office,20.91,62.56,90,64.41,On
2024-11-17 09:05:00,D-1703,Air Conditioner,822.32,Living Room,28.0,79.67,13,21.38,Off
2024-12-29 01:48:00,D-8114,Smart Plug,6.89,Garage,26.48,76.28,19,0.26,Off
2024-08-20 22:41:00,D-2388,Smart Plug,6.59,Office,23.17,30.29,143,1.88,On
2024-05-24 23:46:00,D-2440,Smart Plug,3.69,Living Room,21.67,30.73,11,0.08,On
2024-11-10 21:29:00,D-3989,Air Conditioner,1500.67,Garage,27.95,55.95,156,468.21,On
2024-04-04 07:52:00,D-5399,Refrigerator,216.03,Bathroom,22.15,49.72,87,37.59,Off
2024-11-10 15:45:00,D-1406,Refrigerator,186.17,Garage,28.47,42.17,51,18.99,On
2024-11-23 15:48:00,D-5882,TV,60.14,Garage,24.26,56.15,27,3.25,Off
2024-04-10 08:59:00,D-8311,Heater,1179.25,Office,25.74,43.63,132,311.32,Off
2024-02-29 23:25:00,D-8052,Microwave,821.5,Living Room,23.51,42.83,36,59.15,On
2024-09-08 13:26:00,D-6291,TV,54.34,Bedroom,16.68,30.13,150,16.3,Off
2024-04-07 13:47:00,D-4097,Smart Plug,3.56,Bedroom,17.62,48.04,170,1.21,Off
2024-06-10 12:41:00,D-6699,Refrigerator,154.96,Kitchen,27.77,63.57,89,27.58,On
2024-08-26 16:35:00,D-4040,Ceiling Fan,69.3,Garage,17.52,66.84,161,22.31,On
2024-02-04 02:24:00,D-3852,TV,114.2,Bathroom,18.09,61.9,78,17.82,On
2024-11-09 04:40:00,D-1769,Smart Plug,3.87,Garage,25.14,52.14,125,0.97,Off
2024-06-08 02:24:00,D-3349,Microwave,724.93,Bedroom,20.06,75.28,109,158.03,On
2024-03-19 00:36:00,D-8843,Smart Bulb,6.92,Living Room,18.4,47.75,13,0.18,On
2024-07-08 12:20:00,D-8397,Refrigerator,218.56,Kitchen,22.99,46.22,3,1.31,On
2024-10-03 17:05:00,D-6291,Microwave,1394.21,Living Room,29.93,52.32,116,323.46,On
2024-05-02 03:55:00,D-4374,Ceiling Fan,52.57,Bedroom,16.45,52.52,144,15.14,On
2024-08-02 07:43:00,D-8123,Laptop Charger,58.49,Office,18.52,49.97,104,12.17,On
2024-12-22 22:43:00,D-9555,Laptop Charger,44.62,Office,22.81,61.18,32,2.86,On
2024-01-08 10:19:00,D-3785,TV,56.31,Bathroom,19.55,43.16,66,7.43,On
2024-05-04 06:16:00,D-3496,Smart Plug,4.03,Bathroom,19.2,77.12,55,0.44,On
2024-11-13 22:28:00,D-5107,Washing Machine,715.3,Bedroom,23.1,61.4,158,226.03,Off
2024-02-21 07:01:00,D-8693,Heater,1161.84,Garage,15.34,37.69,163,378.76,On
2024-03-13 08:51:00,D-6656,Air Conditioner,1612.75,Garage,27.93,76.14,14,45.16,On
2024-07-22 14:39:00,D-9429,TV,67.48,Kitchen,29.29,71.26,141,19.03,On
2024-06-19 05:27:00,D-8137,Refrigerator,201.22,Bathroom,16.2,68.84,128,51.51,On
2024-05-24 19:24:00,D-6777,Washing Machine,388.88,Office,15.0,30.88,130,101.11,On
2024-07-28 18:26:00,D-7488,Refrigerator,111.63,Kitchen,26.31,60.97,83,18.53,On
2024-05-20 07:36:00,D-7406,Heater,2384.32,Bathroom,24.27,61.66,40,190.75,Off
2024-10-23 19:07:00,D-4292,Washing Machine,561.95,Bathroom,27.72,66.22,116,130.37,On
2024-03-09 19:11:00,D-2549,Heater,1353.77,Garage,26.54,30.55,130,351.98,On
2024-06-11 15:33:00,D-7793,Refrigerator,236.19,Garage,18.23,30.61,82,38.74,On
2024-07-01 03:47:00,D-5592,Smart Bulb,10.48,Garage,27.67,34.9,26,0.54,On
2024-07-27 01:51:00,D-5839,Air Conditioner,1966.03,Garage,20.92,52.97,21,82.57,Off
2024-09-20 13:04:00,D-1016,Smart Plug,5.79,Living Room,25.32,51.88,29,0.34,On
2024-10-14 03:37:00,D-9980,Laptop Charger,79.51,Bedroom,20.8,52.51,177,28.15,On
2024-01-05 22:19:00,D-8340,Microwave,780.2,Bathroom,22.68,64.01,77,120.15,On
2024-12-04 13:10:00,D-8788,Smart Bulb,13.02,Kitchen,15.18,77.83,21,0.55,On
2024-04-08 01:34:00,D-5531,Washing Machine,637.33,Kitchen,17.78,38.71,5,6.37,On
2024-11-22 01:11:00,D-7511,Ceiling Fan,110.09,Living Room,29.64,63.37,49,10.79,On
2024-11-10 10:16:00,D-9569,Smart Plug,4.89,Bedroom,19.83,36.26,91,0.89,Off
2024-08-11 13:09:00,D-7303,Refrigerator,249.61,Bathroom,17.35,32.19,17,8.49,Off
2024-01-19 14:46:00,D-6784,Smart Plug,4.38,Office,21.59,60.65,22,0.19,On
2024-10-09 23:47:00,D-1685,Refrigerator,102.54,Garage,19.29,70.8,119,24.4,Off
2024-07-31 13:34:00,D-3196,Air Conditioner,1882.56,Garage,29.68,67.41,135,508.29,On
2024-11-09 07:17:00,D-5330,TV,76.93,Bathroom,15.65,38.24,29,4.46,On
2024-08-08 17:55:00,D-5082,Air Conditioner,976.01,Bathroom,25.99,57.11,97,189.35,On
2024-08-28 08:50:00,D-3460,Microwave,712.51,Bathroom,24.54,68.06,111,158.18,On
2024-06-10 21:03:00,D-7272,Laptop Charger,74.5,Kitchen,29.88,34.96,64,9.54,Off
2024-02-25 15:02:00,D-3159,Air Conditioner,1925.69,Bathroom,22.86,72.4,58,223.38,On
2024-05-15 01:49:00,D-4489,Smart Plug,6.29,Bathroom,19.9,37.44,70,0.88,Off
2024-12-29 19:26:00,D-2929,Washing Machine,693.1,Kitchen,17.07,63.15,54,74.85,On
2024-05-12 13:08:00,D-6891,Ceiling Fan,51.1,Garage,16.39,59.41,4,0.41,On
2024-02-18 00:02:00,D-5431,Laptop Charger,43.53,Bathroom,23.41,60.17,162,14.1,On
2024-10-09 22:42:00,D-4390,Heater,1154.12,Office,25.43,67.3,58,133.88,Off
2024-05-01 12:46:00,D-9623,Washing Machine,436.73,Office,19.92,51.7,146,127.53,On
2024-05-05 22:40:00,D-2019,Smart Plug,4.0,Living Room,21.32,61.81,47,0.38,On
2024-05-10 21:30:00,D-4471,Microwave,843.52,Bathroom,20.43,46.73,107,180.51,On
2024-06-08 00:21:00,D-4920,TV,142.96,Kitchen,29.11,42.96,46,13.15,On
2024-07-06 14:23:00,D-3096,Refrigerator,187.04,Garage,25.59,61.56,126,47.13,Off
2024-09-04 21:52:00,D-4384,Laptop Charger,30.42,Living Room,17.38,60.51,57,3.47,Off
2024-08-01 17:07:00,D-2431,Refrigerator,111.41,Office,15.54,43.79,14,3.12,On
2024-12-04 01:19:00,D-3014,TV,94.97,Garage,19.02,37.82,107,20.32,On
2024-09-11 04:08:00,D-1689,Refrigerator,182.22,Office,28.5,31.09,148,53.94,On
2024-06-14 15:11:00,D-2449,Microwave,1593.44,Office,25.96,79.06,82,261.32,On
2024-06-22 05:10:00,D-9100,Ceiling Fan,79.9,Kitchen,19.63,77.35,140,22.37,On
2024-09-01 22:00:00,D-8345,Smart Bulb,12.2,Bedroom,16.33,64.19,33,0.81,On
2024-03-08 22:52:00,D-7171,Air Conditioner,1834.22,Living Room,26.88,57.44,98,359.51,On
2024-05-25 04:53:00,D-4648,Air Conditioner,1392.95,Garage,29.19,72.5,66,183.87,On
2024-10-09 01:00:00,D-9535,Microwave,1544.36,Office,27.1,52.96,63,194.59,On
2024-08-14 09:42:00,D-6774,Refrigerator,140.98,Garage,24.89,38.08,14,3.95,On
2024-07-20 05:28:00,D-3105,Laptop Charger,75.04,Living Room,15.41,33.26,131,19.66,Off
2024-11-04 07:05:00,D-3274,Washing Machine,302.74,Bathroom,21.78,49.87,171,103.54,Off
2024-12-27 10:58:00,D-7411,Laptop Charger,61.4,Bathroom,26.89,58.88,85,10.44,On
2024-10-14 22:00:00,D-7971,Laptop Charger,71.75,Bathroom,17.49,60.67,109,15.64,Off
2024-05-26 05:05:00,D-7629,Laptop Charger,38.44,Living Room,15.5,48.18,160,12.3,On
2024-01-14 22:34:00,D-3307,Refrigerator,259.72,Office,16.25,74.12,12,6.23,Off
2024-09-15 17:58:00,D-9766,Smart Bulb,9.85,Garage,25.02,61.73,4,0.08,Off
2024-05-17 14:17:00,D-4711,Microwave,615.13,Living Room,16.4,31.47,148,182.08,Off
2024-06-30 14:21:00,D-1226,Refrigerator,137.48,Garage,19.45,75.91,134,36.84,Off
2024-03-25 21:12:00,D-3990,Air Conditioner,1727.5,Living Room,20.37,54.71,131,452.61,Off
2024-05-12 02:37:00,D-5079,Ceiling Fan,90.9,Bedroom,16.51,41.99,34,6.18,On
2024-10-20 05:05:00,D-2098,Ceiling Fan,86.34,Office,26.07,70.31,94,16.23,Off
2024-11-20 21:54:00,D-9915,Smart Bulb,12.39,Bedroom,19.88,64.32,156,3.87,On
2024-03-13 16:08:00,D-7144,Washing Machine,668.52,Kitchen,25.41,55.63,38,50.81,On
2024-11-03 20:36:00,D-7115,Washing Machine,685.6,Living Room,26.83,63.25,115,157.69,Off
2024-08-20 16:58:00,D-4674,Microwave,1067.71,Office,21.91,73.23,72,153.75,On
2024-11-18 20:14:00,D-9472,Washing Machine,460.72,Office,28.77,44.0,176,162.17,Off
2024-12-24 02:53:00,D-3946,Heater,2507.92,Living Room,27.59,79.09,63,316.0,On
2024-07-10 17:31:00,D-2531,Microwave,1362.11,Bathroom,16.69,65.18,61,166.18,On
2024-04-05 18:08:00,D-2762,Laptop Charger,43.58,Office,26.15,32.41,68,5.93,Off
2024-07-11 08:33:00,D-8804,Smart Plug,5.47,Living Room,29.84,61.31,16,0.18,On
